,0,1,2,3,4,5,6,7,8,9,10,11,12,13
22,Fahim Faisal Khan Shapnil,"BUET never centrally celebrated Pahela Boishakh, if you didn’t know.",Fardous Ahmed,"Fahim Faisal Khan Shapnil এবার সরকারিভাবে অর্ডার করা হয়েছে, উদযাপনের জন্য। আগে কি করলো সেটা এবার প্রযোজ্য না।",Fahim Faisal Khan Shapnil,Is BUET under মাধ্যমিক ও উচ্চশিক্ষা অধিদপ্তর?,Fardous Ahmed,Fahim Faisal Khan Shapnil আপনি কি পোস্ট টা ঠিকমত পড়েছেন?,Fahim Faisal Khan Shapnil,ওহ আচ্ছা। করেনাই। এখন?,Fardous Ahmed,Fahim Faisal Khan Shapnil এখন মন্ত্রণালয় চাইলে কারণ দর্শাতে বলতে পারে। শোকজ করতে পারে।,,
23,Ehtesamul Haque Sakib,"কয়েকদিন আগে গালি খাইলাম মোল্লা পার্টি ঝামেলা করে এক্সাম পিছায়ে নিয়ে আসছে রোজা ঠিকমত করবে জন্য। এখন গালি খাইতেছি চক্রান্ত করে রোজার মধ্যে এক্সাম ফালানোর জন্য।
আমার লাভ লস নাই জীবনটাই লস।",,,,,,,,,,,,
24,Ahasanul Kabir Utsho,শোনা যাচ্ছে ঢাবির মঙ্গলশোভা যাত্রার ভিডিও নাকি বুয়েট নিজে (এই প্রচন্ড রোদে) দাঁড়িয়ে থেকে ক্যামেরাবন্ধি করেছে।তাই ভিডিও তে বুয়েটকে দেখা যাচ্ছে না ভাই ☺️,,,,,,,,,,,,
25,Riad Un Nabi,"The question by OP is valid in the sense that this particular order by ministry, from the way it is phrased can be seen as mandatory for BUET also. Because this order was placed to both DGSHSE & UGC. But point to be noted is, BUET isn't the recipient of this order. Did UGC issue a letter requesting BUET to follow with this order? If not, maybe UGC thought BUET is exempt from this. In case UGC requested, it seems strange that BUET won't take at least token action, as the occasion itself is on a holiday.",Fardous Ahmed,for reference example,Riad Un Nabi,"Fardous Ahmed I fail to see the relevance. Although all universities r autonomous, the autonomy they enjoy has different degrees. The 4 older universities (DU, CU, RU and maybe JU) were established under vastly different legislation than the newer ones. BUET was established using an ordinance from Pakistan era. They r not under the same level of control other universities r placed under. BUET would probably respect an order placed to it by ministry. But that official order have to be communicated. Ministry sent this order to UGC. Question is, did UGC communicate their own order officially? More importantly, did BUET receive this order. Keep in mind that 13 April was a holiday in BUET, so officially, they may not receive a letter placed to them. U work in a government organization. Do u guys take entry into the receive register on Friday or Saturday? Do u guys issue official letters on Friday/
Saturday?",Fardous Ahmed,"Riad Un Nabi In our case their is no friday/
saturday, we are emergency service. from my experience, last year when I was in chattogram, we had to issue & receive official letters on Saturday.",,,,,,
26,Newaz Hasan,"সরকারী নির্দেশনা না মানার শাস্তি হিসেবে টার্ম ফাইনালে অংশ নেয়া সবাইকে সিজি-৪ দিয়ে দেয়া হোক। 😴😴

।।।।।যদিও বুয়েট সরকারের কোনো নির্দেশনাই তেমন পাত্তা দেয় না। মুক্তিযুদ্ধে অংশ না নিয়ে মুক্তিযোদ্ধা কোটা দিয়ে বুয়েটে ঢুকার জন্য অনেক চেষ্টা করেও মুক্তিযোদ্ধা কোটা ঢুকাতে পারে নাই 😄😄, আর পহেলা বৈশাখ তো বিলাসিতা 😄😄",,,,,,,,,,,,
27,Muhammad Abdur Rashid,Directorate of higher education are not authorised to give instruction to any public university. They can give to college principals. UGC can advise to carry out the programme,,,,,,,,,,,,
28,Shafiul Alam,তীব্র নিন্দা জানাই,,,,,,,,,,,,
29,Jawarul Moresalein Ayon,"এমন ঘটনা মেনে নেয়া যায় না। অবিলম্বে ""টার্ম ফাইনাল"" নামক মৌলবাদীদের সৃষ্ট ষড়যন্ত্রকে বুয়েট হতে উৎখাত এবং নিষিদ্ধ করা হোক!",,,,,,,,,,,,
30,Ajoy Kumar Das,ঈদের পর তীব্র আন্দোলন চাই।,,,,,,,,,,,,
31,Fardous Ahmed,"Ref:
1) order from ministry of education:
https://
drive.google.com
/file/d/
1pCmOd5kweHNBrSB
x9xbh4Wm7Sj7cUw
UM/view
2) https://
www.bangladeshto
day.net/
article/72316/
details",,,,,,,,,,,,
